feature,psi,status,action,baseline_mean,production_mean,baseline_std,production_std
feat_time_since_last_tx_mins,0.15313655499304077,Moderate Drift,Investigate,313102.3622491111,111135.110476,411190.8345366376,139225.94818186283
feat_user_country_entropy,0.11465115341208287,Moderate Drift,Investigate,0.9542951086598115,0.6865385716643283,0.8464673057076072,0.7692311320711436
feat_hour,0.0005526628645117716,Stable,None,11.471413333333333,11.51892,6.909327714702462,6.95607087611965
feat_amount_percentile_user,0.00046580123328758056,Stable,None,0.600077457042957,0.5972276288711288,0.28648587492695654,0.28618632156771473
feat_amount_avg_user_24h,0.0004646347890164817,Stable,None,71.20868344444445,69.5703928,135.6394492210561,131.16645343469978
feat_amount_vs_merchant_avg,0.00042714900732102794,Stable,None,0.0032291975191853367,-0.009687592557555977,0.964976806520725,0.9493171520660222
feat_hour_sin,0.00037769983267610906,Stable,None,0.0033219870069124613,-0.003690421618262831,0.7070462867724794,0.7059155512850024
feat_hour_cos,0.00035981463099728195,Stable,None,-0.0025874816978447364,0.0071556643402191115,0.7071547339175763,0.7082502465302224
feat_amount_vs_user_avg,0.0003490575046566118,Stable,None,0.002258175668747113,-0.006779350806589703,0.8758254039402603,0.8720299041200473
feat_day_of_week,0.0003355552260135624,Stable,None,2.98528,2.98844,1.999725811605181,2.000416548221895
feat_day_sin,0.0002617758805140653,Stable,None,0.0045615632116188624,-0.0009006058779516462,0.7061183228547102,0.7047117933709328
feat_day_cos,8.933688909982404e-05,Stable,None,0.0018376950046308958,-0.001613659660520243,0.7080767819572871,0.7094912778149399
feat_device_age_days,5.778195992706541e-07,Stable,None,0.10667366558641973,0.3323997305555556,4.122240783547601,9.231923296279641
feat_is_large_amount,0.0,Stable,None,0.014373333333333333,0.0136,0.11902411781745002,0.1158233137153311
feat_is_night,0.0,Stable,None,0.24990666666666667,0.2522,0.43295880245379265,0.4342754425476992
feat_is_small_amount,0.0,Stable,None,0.15921333333333335,0.16308,0.365874907341597,0.3694386465977808
feat_is_weekend,0.0,Stable,None,0.28272,0.28364,0.45032144252744616,0.4507641849126881
feat_tx_count_user_1h,0.0,Stable,None,0.0004933333333333334,0.00052,0.022205628916010366,0.022797578818813193
feat_device_fraud_rate_historical,0.0,Stable,None,0.0008933333333333333,0.0014,0.029875329100930232,0.037390373092548834
feat_merchant_fraud_rate_historical,0.0,Stable,None,0.003986780677716564,0.0040164689980975036,0.031077272360170695,0.015669586439552113
feat_tx_count_user_24h,0.0,Stable,None,0.013773333333333334,0.01352,0.11711943457665579,0.11652128389268633
feat_is_high_risk_country,0.0,Stable,None,0.0024933333333333335,0.002,0.049870999811736504,0.044676615807377355
feat_unique_countries_user_7d,0.0,Stable,None,0.09508,0.09456,0.3060497676304732,0.3063631936117653
feat_country_change,0.0,Stable,None,0.64788,0.86256,0.47763113968835824,0.3443112638296923
feat_ip_age_days,0.0,Stable,None,0.002677300925925926,0.0,0.733204167102887,0.0
feat_unique_users_per_ip_24h,0.0,Stable,None,0.0,0.0,0.0,0.0
feat_unique_countries_per_device_7d,0.0,Stable,None,0.0,0.0,0.0,0.0
feat_unique_users_per_device_24h,0.0,Stable,None,0.0,0.0,0.0,0.0
feat_tx_count_merchant_1h,0.0,Stable,None,0.0020266666666666666,0.0022,0.044972872811161274,0.046852534616603186
feat_amount_sum_user_24h,0.0,Stable,None,0.9759073333333333,0.8955020000000001,17.04157837379154,16.70664283439363
feat_user_fraud_rate_historical,0.0,Stable,None,0.0030606623376623373,0.0035481933621933615,0.04124727089542196,0.0318617314560993
